connections,requests,replies,test_duration,connection_rate,connection_time_min,connection_time_avg,connection_time_max,connection_time_median,connection_time_stddev,connection_time,conn_length,request_rate,reply_rate_min,reply_rate_avg,reply_rate_max,reply_rate_stddev,reply_time_response,reply_time_tranfer,1xx_codes,2xx_codes,3xx_codes,4xx_codes,5xx_codes,cpu_user,cpu_system,net_io,error_total,error_cli_timo,error_socket_timo,error_conn_refused,error_conn_reset,error_fd_unavail,error_addrunavail,error_ftab-full,error_other,demanded_rate
500.0,5000.0,5000.0,24.6,20.0,41.4,52.8,73.2,50.2,4.2,1.0,10.0,199.6,199.0,199.6,200.0,0.0,5.2,0.0,0.0,5000.0,0.0,0.0,0.0,5.0,19.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
500.0,5000.0,5000.0,12.6,37.6,37.8,51.2,1099.0,43.8,300.4,1.0,10.0,384.4,348.4,382.2,399.6,29.2,5.2,0.0,0.0,5000.0,0.0,0.0,0.0,2.0,10.2,145.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
500.0,5000.0,5000.0,8.0,59.0,39.6,49.4,78.0,48.2,5.4,1.0,10.0,597.2,597.0,597.0,597.0,0.0,4.9,0.0,0.0,5000.0,0.0,0.0,0.0,1.0,6.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0
500.0,5000.0,5000.0,6.0,79.0,41.5,59.5,87.0,50.5,6.5,0.5,10.0,793.5,795.5,795.5,795.5,0.0,6,0.0,0.0,5000.0,0.0,0.0,0.0,1.0,5.0,300.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0
500.0,5000.0,5000.0,5.0,98.8,46.0,63.2,123.4,59.2,11.6,1.0,10.0,998.2,991.8,991.8,991.8,0.0,25,0.0,0.0,5000.0,0.0,0.0,5,0.0,4.0,375.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
500.0,4810.0,4785.5,5.25,99.5,52.75,545.8,1506.0,77.25,515.0,1.0,9.5,1198.75,207.0,207.0,207.0,0.0,50.45,0.0,0.0,4785.5,0.0,0.0,5.5,0.0,4.5,369.75,24.5,24.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0
500.0,4580.5,4524.833333333333,5.5,97.5,61.833333333333336,999.2,2747.6666666666665,145.0,933.3333333333334,0.5,10.833333333333334,1170.5,404.5,404.5,404.5,0.0,100.333333333333,0.0,0.0,4524.333333333333,0.0,0.0,6,0.0,5.333333333333333,349.8333333333333,55.666666666666664,55.166666666666664,0.0,0.0,5,0.0,0.0,0.0,0.0,1400.0
500.0,5000.0,5000.0,5.0,90.0,157.0,1300.2,3873.0,2435.0,892.0,0.0,10.0,1205.111,877.0,877.0,901.0,0.0,130.0,0.0,0.0,5000.0,0.0,0.0,7,0.0,5.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0
500.0,5000.0,5000.0,5.0,90.0,157.0,1802.1,3873.0,2435.0,892.0,0.0,10.0,1170.121,877.0,877.0,902.0,0.0,180.0,0.0,0.0,5000.0,0.0,0.0,8,0.0,5.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0
500.0,5000.0,5000.0,5.0,90.0,157.0,2492.0,3873.0,2435.0,892.0,0.0,10.0,1219.22,877.0,877.0,906.0,0.0,250.2,0.0,0.0,5000.0,0.0,0.0,10,0.0,5.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
