connections,requests,replies,test_duration,connection_rate,connection_time_min,connection_time_avg,connection_time_max,connection_time_median,connection_time_stddev,connection_time,conn_length,request_rate,reply_rate_min,reply_rate_avg,reply_rate_max,reply_rate_stddev,reply_time_response,reply_time_tranfer,1xx_codes,2xx_codes,3xx_codes,4xx_codes,5xx_codes,cpu_user,cpu_system,net_io,error_total,error_cli_timo,error_socket_timo,error_conn_refused,error_conn_reset,error_fd_unavail,error_addrunavail,error_ftab-full,error_other,demanded_rate
500.0,5000.0,5000.0,25.0,20.0,46.0,47.0,246.0,56.0,9.0,1.0,10.0,199.0,199.0,199.0,200.0,0.0,6.0,0.0,0.0,5000.0,0.0,0.0,0.0,5.0,19.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0
500.0,5000.0,5000.0,12.0,39.0,40.5,45.5,97.5,48.5,4.5,1.0,10.0,399.0,398.0,398.5,399.0,0.0,6.2,0.0,0.0,5000.0,0.0,0.0,0.0,2.0,9.5,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,400.0
500.0,5000.0,5000.0,8.0,59.0,37.5,46.0,77.0,44.75,4.75,0.75,10.0,596.75,597.25,597.25,597.25,0.0,6.3,0.0,0.0,5000.0,0.0,0.0,0.0,1.0,6.0,226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0
500.0,5000.0,5000.0,6.0,79.0,37.5,49.5,102.0,48.25,7.5,0.0,10.0,794.75,796.25,796.25,796.25,0.0,7.5,0.0,0.0,5000.0,0.0,0.0,0.0,1.0,5.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,800.0
500.0,5000.0,5000.0,5.0,99.0,40.333333333333336,53.0,101.0,51.0,7.333333333333333,0.0,10.0,990.6666666666666,994.3333333333334,994.3333333333334,994.3333333333334,0.0,7.5,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,7.5,375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0
500.0,5000.0,5000.0,4.25,112.0,41.75,57.75,471.0,55.0,115.0,0.0,10.0,1186.75,225.25,225.25,225.25,0.0,8.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,3.25,426.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0
500.0,5000.0,5000.0,3.0,137.75,42.75,60.75,108.25,58.5,10.0,0.0,10.0,1381.0,0.0,0.0,0.0,0.0,9.5,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,3.0,523.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0
500.0,5000.0,4997.5,3.0,154.25,45.75,89.0,289.25,71.25,49.5,0.0,10.0,1546.0,0.0,0.0,0.0,0.0,10.3,0.0,0.0,4997.5,0.0,0.0,5.5,0.0,2.25,585.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0
500.0,5000.0,4998.333333333333,2.0,175.33333333333334,50.666666666666664,122.66666666666667,157.33333333333334,85.66666666666667,19.0,0.0,10.0,1732.6666666666667,0.0,0.0,0.0,0.0,26.333333333333334,0.0,0.0,4998.333333333333,0.0,0.0,7.6666666666666667,0.0,2.0,665.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0
500.0,5000.0,4996.25,2.25,179.0,55.5,656.2,557.0,108.5,134.25,0.0,10.0,1762.75,0.0,0.0,0.0,0.0,66.5,0.0,0.0,4996.25,0.0,0.0,8.75,0.0,2.25,680.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0
